PKM KD UPREGULATED PAUSE SITES,,,,PKM KD DOWNREGULATED PAUSE SITES,,,,EIF5A OVX UPREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED TE,,EIF5A OVX UPREGULATED TE,
,Transcript,p,t-statistic,,Transcript,p,t-statistic,,Transcript,p,statistic,,Transcript,p,statistic,Index,Transcript,Index,Transcript
93,TPT1,0.0354,-3.24403988,,,,,,,,,,,,,15074,SETX,13079,PPIP5K1
94,TXN,0.0134,-4.994544895,,,,,,,,,,,,,15092,SFPQ,13695,QRICH2
95,UBA1,0.0411,-3.149137718,,,,,,,,,,,,,15128,SGO2,13729,RAB24
96,UBA52,0.027,-4.07931987,,,,,,,,,,,,,15712,SLK,13828,RAF1
97,VIM,0.0111,-5.59624863,,,,,,,,,,,,,15750,SMC2,14130,RGL2
,,,,,,,,,,,,,,,,15751,SMC3,15066,SETD5
,,,,,,,,,,,,,,,,15752,SMC4,15156,SH3BP2
,,,,,,,,,,,,,,,,15755,SMCHD1,15161,SH3D21
,,,,,,,,,,,,,,,,15767,SMG8,15434,SLC25A39
,,,,,,,,,,,,,,,,15822,SMPD1,15476,SLC2A11
,,,,,,,,,,,,,,,,15943,SOGA1,15763,SMG1
,,,,,,,,,,,,,,,,16348,STAG2,15764,SMG5
,,,,,,,,,,,,,,,,16495,SULF2,15917,SNX29
,,,,,,,,,,,,,,,,16595,SYNRG,16165,SPRED1
,,,,,,,,,,,,,,,,17095,THOC2,16349,STAG3
,,,,,,,,,,,,,,,,17195,TLN1,16366,STARD9
,,,,,,,,,,,,,,,,17506,TMF1,16672,TAF1D
,,,,,,,,,,,,,,,,17541,TMTC3,16821,TBRG1
,,,,,,,,,,,,,,,,17649,TOP2A,16878,TCIRG1
,,,,,,,,,,,,,,,,17711,TPR,17129,TIGD1
,,,,,,,,,,,,,,,,17728,TPX2,17239,TMC6
,,,,,,,,,,,,,,,,17874,TRIP11,17241,TMC8
,,,,,,,,,,,,,,,,18044,TTC37,17282,TMEM120B
,,,,,,,,,,,,,,,,18145,TXNDC11,17308,TMEM145
,,,,,,,,,,,,,,,,18412,USO1,17451,TMEM39B
,,,,,,,,,,,,,,,,18487,USP7,17689,TPCN2
,,,,,,,,,,,,,,,,18489,USP9X,17725,TPTE
,,,,,,,,,,,,,,,,18596,VPS11,17887,TRMT11
,,,,,,,,,,,,,,,,18599,VPS13C,17901,TRNAU1AP
,,,,,,,,,,,,,,,,18684,WASHC4,18113,TUBGCP6
,,,,,,,,,,,,,,,,18784,WFS1,18227,UBE2Q2
,,,,,,,,,,,,,,,,18843,XBP1,18285,UCKL1
,,,,,,,,,,,,,,,,18976,ZBTB38,18338,ULK3
,,,,,,,,,,,,,,,,19500,ZNF638,18339,ULK4
,,,,,,,,,,,,,,,,,,18450,USP21
,,,,,,,,,,,,,,,,,,18680,WASHC1
,,,,,,,,,,,,,,,,,,18720,WDR4
,,,,,,,,,,,,,,,,,,18760,WDR90
,,,,,,,,,,,,,,,,,,19255,ZNF276
,,,,,,,,,,,,,,,,,,19540,ZNF692
